file,psnr,ssim,error_std,error_mean,data_std,data_mean
QGRAUPf10.bin.f32,50.781864166259766,0.22300103352309741,4.72227438876871e-05,3.354646196385147e-06,0.00016119331121444702,9.392477295477875e-06
QICEf01.bin.f32,30.07903289794922,0.6824900011167306,1.5344659914262593e-05,4.195309429633198e-06,1.5344659914262593e-05,4.195309429633198e-06
QICEf02.bin.f32,31.235427856445312,0.7020870246136003,1.4573615771951154e-05,2.89471108771977e-06,1.4573615771951154e-05,2.89471108771977e-06
QICEf03.bin.f32,31.844039916992188,0.7305173819259213,1.3926462997915223e-05,2.264228669446311e-06,1.3926462997915223e-05,2.264228669446311e-06
QICEf04.bin.f32,31.983238220214844,0.7521722903099417,1.507897104602307e-05,2.2710655684932135e-06,1.507897104602307e-05,2.2710655684932135e-06
QICEf05.bin.f32,32.44951629638672,0.7794771823314,1.5435105524375103e-05,2.28107728617033e-06,1.5435105524375103e-05,2.28107728617033e-06
QICEf06.bin.f32,31.440704345703125,0.7826148147704125,1.562988109071739e-05,2.262069074276951e-06,1.562988109071739e-05,2.262069074276951e-06
QICEf07.bin.f32,30.248016357421875,0.7775913669930679,1.68891747307498e-05,2.5313663627457572e-06,1.68891747307498e-05,2.5313663627457572e-06
QICEf08.bin.f32,29.697219848632812,0.7630445190395041,1.7684433260001242e-05,2.710345370360301e-06,1.7684433260001242e-05,2.710345370360301e-06
QICEf09.bin.f32,31.385391235351562,0.7468190951482812,1.6732139556552283e-05,2.636666295074974e-06,1.6732139556552283e-05,2.636666295074974e-06
QICEf10.bin.f32,31.978050231933594,0.7443334630052763,1.5605992302880622e-05,2.392031547060469e-06,1.5605992302880622e-05,2.392031547060469e-06
QRAINf01.bin.f32,35.77906799316406,0.7262773411719471,4.280710345483385e-05,1.1617580639722291e-06,6.981012120377272e-05,4.723595793620916e-06
QRAINf02.bin.f32,38.37647247314453,0.648380887374564,3.982560519943945e-05,1.16701926344831e-06,7.360903691733256e-05,4.502531282923883e-06
QRAINf03.bin.f32,41.690250396728516,0.5808209830883073,3.981560803367756e-05,1.2036738326060004e-06,0.00010078649938805029,5.800291091873078e-06
QRAINf04.bin.f32,43.73556900024414,0.5193608011902411,4.3629763240460306e-05,1.188511987493257e-06,0.00011750609701266512,6.977221801207634e-06
QRAINf05.bin.f32,43.72359848022461,0.46440002363579397,4.575116327032447e-05,1.2833523896915722e-06,0.00011734380677808076,7.279592864506412e-06
QRAINf06.bin.f32,47.78151321411133,0.40887207989147595,4.620537220034748e-05,1.5981288470356958e-06,0.00011683241609716788,7.004836334090214e-06
QRAINf07.bin.f32,45.473655700683594,0.3542394241085559,4.5943743316456676e-05,2.161976453862735e-06,0.00011789060954470187,7.139083209040109e-06
QRAINf08.bin.f32,45.0125732421875,0.29743301613512596,4.680964775616303e-05,2.3901486656541238e-06,0.00011130904749734327,7.282525530172279e-06
QRAINf09.bin.f32,45.03996276855469,0.2556040409746762,5.3334792028181255e-05,3.334004532007384e-06,0.00011731786071322858,8.950622941483743e-06
QRAINf10.bin.f32,45.197486877441406,0.22317501161430836,5.370382859837264e-05,3.2670873224560637e-06,0.00013421144103631377,9.917379429680295e-06
QSNOWf01.bin.f32,31.58258056640625,0.21807907389535425,1.6355614206986502e-05,4.2542069422779605e-06,1.6355614206986502e-05,4.2542069422779605e-06
QSNOWf02.bin.f32,35.52403259277344,0.19813307369252997,1.4788241969654337e-05,2.3855629933677847e-06,1.4788241969654337e-05,2.3855629933677847e-06
